__id__,ai_classified_at,ai_company_type,ai_confidence,ai_country,ai_keywords,ai_sector,ai_summary,company,country,country_name,crawled_at,description,domain,keywords,lead_id,page_count,sitemap_type,sitemap_url,source_query,target_types,title,website
100cosasquehacerensantander_blogspot_com,2026-05-28T13:45:14+00:00,media,0.78,ES,"[""blog"",""free"",""things to do"",""santander"",""gratis"",""guide"",""travel"",""events"",""internet""]",media,Spanish blog sharing free things to do in Santander.,Blogspot,*,Global,2026-05-28T13:30:52+00:00,,blogspot.com,"[""norsk"",""rekruttering"",""bemanningsselskap"",""tjenester"",""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""cosas"",""gratis"",""hacer"",""santander"",""blogspot"",""blog"",""free"",""things to do"",""guide"",""travel"",""events"",""internet""]",100cosasquehacerensantander_blogspot_com,68,urlset,https://100cosasquehacerensantander.blogspot.com/sitemap.xml,norsk rekruttering bemanningsselskap tjenester,"[""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association""]",100 Cosas Gratis que hacer en Santander,https://100cosasquehacerensantander.blogspot.com/
17track_me,,,,,,,,17track,NO,Norway,2026-05-28T14:26:39+00:00,"Track shipments from 1,350+ carriers worldwide, including DHL, UPS and FedEx. Enter your tracking number for real-time updates with 17TRACK. Fast, free, no registration required.",17track.me,"[""norsk"",""fagorganisasjon"",""ressurser"",""publikasjoner"",""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality"",""track"",""packages"",""worldwide"",""tracking"",""number"",""17track"",""shipments"",""carriers"",""including"",""dhl"",""ups"",""fedex""]",17track_me,86,urlset,https://17track.me/sitemap.xml,norsk fagorganisasjon ressurser publikasjoner,"[""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality""]",Track Packages Worldwide by Tracking Number | 17TRACK.me,https://17track.me/
1win_com,,,,,,,,1win,*,Global,2026-05-28T14:27:32+00:00,"1win – Best Online Casino and Betting! Join and get 500% bonus 1win. 11.000+ games, Free money, Fast withdrawal, All Payment Methods, 24/7 Support",1win.com,"[""norsk"",""frivillighetsorganisasjon"",""informasjon"",""tjenester"",""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality"",""1win"",""online"",""casino"",""sports"",""betting"",""official"",""website"",""best"",""join"",""get"",""bonus""]",1win_com,138,urlset,https://1win.com/sitemap.xml,norsk frivillighetsorganisasjon informasjon tjenester,"[""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality""]",1win Online Casino & Sports Betting | Official Website,https://1win.com/
2ip_io,2026-05-28T13:45:14+00:00,B2C,0.55,NO,"[""2ip"",""online store"",""clothing"",""fashion"",""buy"",""products"",""shop"",""nettbutikk"",""klær"",""mote""]",ecommerce,Online retailer selling clothing and fashion products under the 2IP brand.,2ip,NO,Norway,2026-05-28T13:37:26+00:00,,2ip.io,"[""norsk"",""nettbutikk"",""klær"",""mote"",""kjøp"",""produkter"",""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""2ip"",""online store"",""clothing"",""fashion"",""buy"",""products"",""shop""]",2ip_io,665859,index,https://2ip.io/sitemap_index.xml,norsk nettbutikk klær mote kjøp produkter,"[""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association""]",,https://2ip.io/
47skin_com,,,,,,,,47skin,*,Global,2026-05-28T14:02:05+00:00,"Buy 47 Skin&#39;s miracle products. Anti-Blemish &amp; Scar Repair, Regenerative and Age Defence. Regenerates skin cells, prevents spots and blemishes, heals scars. Natural, cruelty free &amp; sustainable skin care. Skin repairing Serum, Face Mask &amp; Cleanser. &quot;The Miracle Product everyone i",47skin.com,"[""norsk"",""eiendomsinvestering"",""portefølje"",""analyse"",""informasjon"",""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality"",""skin"",""anti"",""blemish"",""amp"",""scar"",""repair"",""miracle"",""care"",""products"",""buy"",""47skin""]",47skin_com,486,index,https://47skin.com/sitemap.xml,norsk eiendomsinvestering portefølje analyse informasjon,"[""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality""]",47 Skin - Anti-Blemish &amp; Scar Repair Miracle Skin Care Products,https://47skin.com/
900xjs_forumactif_com,2026-05-28T13:45:14+00:00,media,0.62,FR,"[""forum"",""yamahadiversion"",""motorcycle"",""parts"",""diversion"",""community"",""yamaha"",""discussions"",""portal""]",media,Yamaha 900 Diversion community forum hosting discussions and advice.,Forumactif,*,Global,2026-05-28T13:30:47+00:00,: Les forums où l,forumactif.com,"[""norsk"",""olje"",""gass"",""leverandør"",""tjenester"",""dokumentasjon"",""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""forum"",""yamaha"",""diversion"",""portail"",""forums"",""forumactif"",""yamahadiversion"",""motorcycle"",""parts"",""community"",""discussions""]",900xjs_forumactif_com,154,index,https://900xjs.forumactif.com/sitemap.xml,norsk olje gass leverandør tjenester dokumentasjon,"[""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association""]",Forum Yamaha 900 Diversion - Portail,https://900xjs.forumactif.com/
99app_com,,,,,,,,99app,*,Global,2026-05-28T14:29:24+00:00,"Quer aumentar o faturamento do seu restaurante? Cadastre-se no 99Food e alcance milhares de clientes! Plataforma fácil, suporte e mais entregas para o seu negócio.",99app.com,"[""norsk"",""pensjon"",""sparing"",""livsforsikring"",""produkter"",""kunder"",""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality"",""seja"",""parceiro"",""99food"",""aumente"",""suas"",""vendas"",""com"",""nosso"",""app"",""delivery"",""quer"",""aumentar"",""faturamento"",""seu"",""restaurante"",""cadastre"",""alcance"",""99app""]",99app_com,2957,index,https://99app.com/99food/restaurantes/sitemap-index.xml,norsk pensjon sparing livsforsikring produkter kunder,"[""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality""]",Seja Parceiro 99Food: Aumente Suas Vendas com Nosso App de Delivery,https://99app.com/99food/restaurantes/
aads_com,,,,,,,,Aads,*,Global,2026-05-28T14:17:36+00:00,Promote your crypto project with AADS – top crypto ad network accepting Bitcoin and other coins. Buy targeted crypto traffic easily and effectively.,aads.com,"[""norsk"",""nettbutikk"",""sport"",""friluft"",""utstyr"",""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality"",""aads"",""first"",""crypto"",""amp"",""bitcoin"",""advertising"",""network"",""promote"",""project"",""top"",""accepting""]",aads_com,93,urlset,https://aads.com/sitemap.xml,norsk nettbutikk sport friluft utstyr,"[""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality""]",AADS – First Crypto &amp; Bitcoin Advertising Network,https://aads.com/
abchomeopatia_com,,,,,,,,Abchomeopatia,*,Global,2026-05-28T14:06:41+00:00,"ABC Homeopatía ⭐ tu guia de homeopatía para acercarte, conocer esta terápia natural en tu ámbito familiar. Consulta los síntomas y remedios homeopáticos ✅",abchomeopatia.com,"[""offentlig"",""etat"",""dokumentasjon"",""norsk"",""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality"",""abc"",""homeopatía"",""guía"",""homeopática"",""cabecera"",""guia"",""para"",""acercarte"",""conocer"",""esta"",""abchomeopatia""]",abchomeopatia_com,709,index,https://abchomeopatia.com/sitemap_index.xml,offentlig etat dokumentasjon norsk,"[""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality""]",ABC Homeopatía - Tu guía homeopática de cabecera,https://abchomeopatia.com/
about_allegro_eu,,,,,,,,Allegro,NO,Norway,2026-05-28T14:42:10+00:00,,allegro.eu,"[""norsk"",""boligbygger"",""nybygg"",""prosjekter"",""informasjon"",""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality"",""about"",""allegro""]",about_allegro_eu,54,index,https://about.allegro.eu/sitemap.xml,norsk boligbygger nybygg prosjekter informasjon,"[""municipality"",""public_sector"",""healthcare"",""education"",""media"",""company"",""ecommerce"",""association"",""finance"",""legal"",""real_estate"",""logistics"",""construction"",""technology"",""hr"",""hospitality""]",About - Allegro,https://about.allegro.eu/
